Dataset,Model,Songpath,PPT_TempoRange,Track_MeanTempo,F1-ori,P-ori,R-ori,F1-max,P-max,R-max,best_annshifts,F1 improve
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_21-1_no_repeat_WangA02M.wav,30-300,152.948,0.747,0.899,0.640,0.750,0.902,0.642,30,0.003
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_3_JeonH06M.wav,30-300,56.412,0.513,0.510,0.516,0.519,0.516,0.522,10,0.006
ASAP,RDB_SPPK,Bach_Prelude_bwv_863_Shychko01M.wav,30-300,34.465,0.358,0.218,1.000,0.358,0.218,1.000,"-10, -20, -30, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_48-1_PrjevalskayaM02M.wav,30-300,70.865,0.450,0.634,0.349,0.558,0.785,0.432,-50,0.107
ASAP,RDB_SPPK,Bach_Prelude_bwv_889_Giesbrecht01M.wav,30-300,53.550,0.529,0.361,0.992,0.529,0.361,0.992,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_888_ZhaoK01M.wav,30-300,102.462,0.370,0.325,0.430,0.400,0.351,0.465,"-220, 1670, 850",0.030
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_3_ZhangW07M.wav,30-300,63.647,0.419,0.577,0.328,0.422,0.582,0.331,"-10, 10, 40",0.004
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_31-1_AbdelmoulaJS03M.wav,30-300,58.107,0.553,0.426,0.786,0.555,0.428,0.789,"-10, -20, -30, -40, -50",0.002
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_24-1_no_2_repeat_Cui06M.wav,30-300,118.206,0.848,0.950,0.765,0.854,0.957,0.771,-60,0.006
ASAP,RDB_SPPK,Bach_Fugue_bwv_854_Richardson01M.wav,30-300,110.363,0.876,0.790,0.982,0.876,0.790,0.982,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_11-1_ZhaoK02M.wav,30-300,150.129,0.875,0.926,0.830,0.878,0.928,0.832,"-30, -40",0.003
ASAP,RDB_SPPK,Bach_Fugue_bwv_885_JeonH01M.wav,30-300,99.743,0.778,0.649,0.972,0.778,0.649,0.972,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40, 50",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_875_Ahfat01M.wav,30-300,117.370,0.675,0.523,0.950,0.678,0.526,0.956,"30, 40",0.004
ASAP,RDB_SPPK,Chopin_Etudes_op_10_1_SunY03M.wav,30-300,168.763,0.429,0.907,0.281,0.439,0.928,0.288,20,0.010
ASAP,RDB_SPPK,Bach_Fugue_bwv_874_Kurz01M.wav,30-300,35.710,0.405,0.255,0.990,0.405,0.255,0.990,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Chopin_Etudes_op_10_12_WuuE06M.wav,30-300,133.736,0.640,0.763,0.551,0.678,0.809,0.584,-50,0.038
ASAP,RDB_SPPK,Chopin_Etudes_op_25_5_Levitsky10M.wav,30-300,142.327,0.708,0.912,0.578,0.708,0.912,0.578,"0, 10",0.000
ASAP,RDB_SPPK,Chopin_Scherzos_31_TuanS05M.wav,30-300,241.874,0.488,0.941,0.330,0.489,0.943,0.330,-10,0.001
ASAP,RDB_SPPK,Bach_Prelude_bwv_848_LeeSH01M.wav,30-300,239.218,0.837,0.996,0.723,0.837,0.996,0.723,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Glinka_The_Lark_Denisova10M.wav,30-300,57.425,0.541,0.467,0.643,0.544,0.470,0.646,"10, 20",0.003
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_1_Teo06M.wav,30-300,87.002,0.652,0.577,0.749,0.652,0.577,0.749,"-10, 0",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_26-1_Sham03M.wav,30-300,180.339,0.665,0.924,0.519,0.666,0.926,0.520,"-10, -20, -30, -40, -50, -60",0.001
ASAP,RDB_SPPK,Liszt_Transcendental_Etudes_4_GuoE03M.wav,30-300,85.003,0.532,0.550,0.515,0.532,0.550,0.515,"0, 10, 20",0.000
